DATE,TIME,PRICE,POSITIVE STOCK,NEGATIVE STOCK,TRADE SIDE
2022-11-12,07:50:20,2920,130,218,SHORT
2022-11-12,07:50:21,2915,124,221,SHORT
2022-11-12,07:50:22,2899,132,220,SHORT
2022-11-12,07:50:23,2905,131,226,SHORT
2022-11-12,07:50:24,2924,136,221,SHORT
2022-11-12,07:50:25,2908,134,218,SHORT
2022-11-12,07:50:26,2918,138,226,SHORT
2022-11-12,07:50:27,2898,145,223,SHORT
2022-11-12,07:50:28,2907,153,217,SHORT
2022-11-12,07:50:29,2911,158,218,SHORT
2022-11-12,07:50:30,2916,154,226,SHORT
2022-11-12,07:50:31,2918,162,233,SHORT
2022-11-12,07:50:32,2899,162,240,SHORT
2022-11-12,07:50:33,2887,164,239,SHORT
2022-11-12,07:50:34,2907,171,245,SHORT
2022-11-12,07:50:35,2922,166,250,SHORT
2022-11-12,07:50:36,2908,171,253,SHORT
2022-11-12,07:50:37,2909,172,254,SHORT
2022-11-12,07:50:38,2893,168,255,SHORT
2022-11-12,07:50:39,2893,165,252,SHORT
2022-11-12,07:50:41,2896,171,251,SHORT
2022-11-12,07:50:42,2907,175,255,SHORT
2022-11-12,07:50:43,2916,182,252,SHORT
2022-11-12,07:50:44,2902,181,257,SHORT
2022-11-12,07:50:45,2884,183,253,SHORT
2022-11-12,07:50:46,2899,188,250,SHORT
2022-11-12,07:50:47,2898,186,253,SHORT
2022-11-12,07:50:48,2893,181,253,SHORT
2022-11-12,07:50:49,2889,186,254,SHORT
2022-11-12,07:50:50,2887,182,256,SHORT
2022-11-12,07:50:51,2889,185,254,SHORT
2022-11-12,07:50:52,2877,184,248,SHORT
2022-11-12,07:50:53,2867,181,255,SHORT
2022-11-12,07:50:54,2870,187,259,SHORT
2022-11-12,07:50:55,2877,187,267,SHORT
2022-11-12,07:50:56,2873,183,270,SHORT
2022-11-12,07:50:57,2883,178,269,SHORT
2022-11-12,07:50:58,2887,181,272,SHORT
2022-11-12,07:50:59,2892,177,272,SHORT
2022-11-12,07:51:00,2900,185,276,SHORT
2022-11-12,07:51:01,2912,188,280,SHORT
2022-11-12,07:51:02,2897,193,275,SHORT
2022-11-12,07:51:03,2910,199,283,SHORT
2022-11-12,07:51:04,2928,199,278,SHORT
2022-11-12,07:51:05,2939,196,281,SHORT
2022-11-12,07:51:06,2958,191,277,SHORT
2022-11-12,07:51:07,2970,189,275,SHORT
2022-11-12,07:51:08,2989,188,280,SHORT
2022-11-12,07:51:09,2970,192,278,SHORT
2022-11-12,07:51:10,2970,189,275,SHORT
2022-11-12,07:51:11,2971,194,280,SHORT
2022-11-12,07:51:12,2963,199,281,SHORT
2022-11-12,07:51:13,2962,196,281,SHORT
2022-11-12,07:51:14,2957,197,282,SHORT
2022-11-12,07:51:15,2951,194,282,SHORT
2022-11-12,07:51:16,2947,199,285,SHORT
2022-11-12,07:51:17,2941,202,288,SHORT
2022-11-12,07:51:18,2944,199,295,SHORT
2022-11-12,07:51:19,2948,195,292,SHORT
2022-11-12,07:51:20,2939,194,292,SHORT
2022-11-12,07:51:21,2955,190,296,SHORT
2022-11-12,07:51:22,2969,192,296,SHORT
2022-11-12,07:51:23,2973,192,295,SHORT
2022-11-12,07:51:24,2967,187,299,SHORT
2022-11-12,07:51:25,2972,192,300,SHORT
2022-11-12,07:51:26,2974,200,307,SHORT
2022-11-12,07:51:27,2978,208,302,SHORT
2022-11-12,07:51:28,2992,209,304,SHORT
2022-11-12,07:51:29,2997,216,304,SHORT
2022-11-12,07:51:30,3010,213,310,SHORT
2022-11-12,07:51:31,3002,221,318,SHORT
2022-11-12,07:51:32,3013,220,325,SHORT
2022-11-12,07:51:33,2995,218,323,SHORT
2022-11-12,07:51:34,2981,214,328,SHORT
2022-11-12,07:51:35,2979,210,329,SHORT
2022-11-12,07:51:36,2980,204,334,SHORT
2022-11-12,07:51:37,2962,205,337,SHORT
2022-11-12,07:51:38,2950,199,337,SHORT
2022-11-12,07:51:39,2934,193,345,SHORT
2022-11-12,07:51:40,2953,200,350,SHORT
2022-11-12,07:51:41,2936,196,345,SHORT
2022-11-12,07:51:42,2923,204,349,SHORT
2022-11-12,07:51:43,2927,207,346,SHORT
2022-11-12,07:51:44,2927,208,353,SHORT
2022-11-12,07:51:45,2933,216,352,SHORT
2022-11-12,07:51:46,2935,211,356,SHORT
2022-11-12,07:51:47,2920,208,362,SHORT
2022-11-12,07:51:48,2915,204,362,SHORT
2022-11-12,07:51:49,2919,205,368,SHORT
2022-11-12,07:51:50,2924,203,368,SHORT
2022-11-12,07:51:51,2919,211,364,SHORT
2022-11-12,07:51:52,2905,205,358,SHORT
2022-11-12,07:51:53,2915,212,352,SHORT
2022-11-12,07:51:54,2934,211,352,SHORT
2022-11-12,07:51:55,2938,205,349,SHORT
2022-11-12,07:51:56,2941,207,348,SHORT
2022-11-12,07:51:57,2935,209,344,SHORT
2022-11-12,07:51:58,2921,214,339,SHORT
2022-11-12,07:51:59,2919,212,347,SHORT
2022-11-12,07:52:00,2932,212,346,SHORT
2022-11-12,07:52:01,2926,212,344,SHORT
2022-11-12,07:52:02,2922,208,350,SHORT
2022-11-12,07:52:03,2941,214,350,SHORT
2022-11-12,07:52:04,2923,210,353,SHORT
2022-11-12,07:52:05,2939,204,358,SHORT
2022-11-12,07:52:06,2953,204,360,SHORT
2022-11-12,07:52:07,2956,201,354,SHORT
2022-11-12,07:52:08,2970,195,361,SHORT
2022-11-12,07:52:09,2979,202,361,SHORT
2022-11-12,07:52:11,2993,197,355,SHORT
2022-11-12,07:52:12,3013,204,355,SHORT
2022-11-12,07:52:13,3003,205,352,SHORT
2022-11-12,07:52:14,2996,213,347,SHORT
2022-11-12,07:52:15,3002,215,352,SHORT
2022-11-12,07:52:16,3019,217,359,SHORT
2022-11-12,07:52:17,3000,217,357,SHORT
2022-11-12,07:52:18,2996,219,361,SHORT
2022-11-12,07:52:19,2978,226,355,SHORT
2022-11-12,07:52:20,2972,230,354,SHORT
2022-11-12,07:52:21,2961,236,349,SHORT
2022-11-12,07:52:22,2972,242,352,SHORT
2022-11-12,07:52:23,2975,249,357,SHORT
2022-11-12,07:52:24,2987,254,352,SHORT
2022-11-12,07:52:25,2973,252,357,SHORT
2022-11-12,07:52:26,2978,250,356,SHORT
2022-11-12,07:52:27,2970,246,351,SHORT
2022-11-12,07:52:28,2965,249,357,SHORT
2022-11-12,07:52:29,2971,249,364,SHORT
2022-11-12,07:52:30,2970,249,359,SHORT
2022-11-12,07:52:31,2975,245,360,SHORT
2022-11-12,07:52:32,2969,240,367,SHORT
2022-11-12,07:52:33,2975,239,371,SHORT
2022-11-12,07:52:34,2976,238,366,SHORT
2022-11-12,07:52:35,2980,246,368,SHORT
2022-11-12,07:52:36,2977,244,368,SHORT
2022-11-12,07:52:37,2997,245,364,SHORT
2022-11-12,07:52:38,2981,247,369,SHORT
2022-11-12,07:52:39,2973,244,375,SHORT
2022-11-12,07:52:40,2988,247,369,SHORT
2022-11-12,07:52:41,2978,252,365,SHORT
2022-11-12,07:52:42,2991,258,367,SHORT
2022-11-12,07:52:43,2996,252,371,SHORT
2022-11-12,07:52:44,2982,247,374,SHORT
2022-11-12,07:52:45,2997,247,377,SHORT
2022-11-12,07:52:46,2995,250,380,SHORT
2022-11-12,07:52:47,2985,249,380,SHORT
2022-11-12,07:52:48,2981,247,377,SHORT
2022-11-12,07:52:49,2981,253,374,SHORT
2022-11-12,07:52:50,2981,250,376,SHORT
2022-11-12,07:52:51,2971,254,375,SHORT
2022-11-12,07:52:52,2991,249,369,SHORT
2022-11-12,07:52:53,2988,246,371,SHORT
2022-11-12,07:52:54,2989,242,365,SHORT
2022-11-12,07:52:55,2988,238,368,SHORT
2022-11-12,07:52:56,2994,237,365,SHORT
2022-11-12,07:52:57,2974,245,366,SHORT
2022-11-12,07:52:58,2962,249,367,SHORT
2022-11-12,07:52:59,2973,252,367,SHORT
2022-11-12,07:53:00,2953,259,375,SHORT
2022-11-12,07:53:01,2972,255,369,SHORT
2022-11-12,07:53:02,2991,250,367,SHORT
2022-11-12,07:53:03,2991,251,366,SHORT
2022-11-12,07:53:04,2985,258,362,SHORT
2022-11-12,07:53:05,2982,266,359,SHORT
2022-11-12,07:53:06,2971,264,354,SHORT
2022-11-12,07:53:07,2967,261,361,SHORT
2022-11-12,07:53:08,2964,256,365,SHORT
2022-11-12,07:53:09,2979,250,365,SHORT
2022-11-12,07:53:10,2972,245,364,SHORT
2022-11-12,07:53:11,2958,243,363,SHORT
2022-11-12,07:53:12,2967,245,369,SHORT
2022-11-12,07:53:13,2960,248,377,SHORT
2022-11-12,07:53:14,2952,254,377,SHORT
2022-11-12,07:53:15,2945,249,377,SHORT
2022-11-12,07:53:16,2948,256,383,SHORT
2022-11-12,07:53:17,2937,260,381,SHORT
2022-11-12,07:53:18,2945,259,388,SHORT
2022-11-12,07:53:19,2956,258,391,SHORT
2022-11-12,07:53:20,2956,266,386,SHORT
2022-11-12,07:53:21,2943,264,385,SHORT
2022-11-12,07:53:22,2960,271,386,SHORT
2022-11-12,07:53:23,2969,273,380,SHORT
2022-11-12,07:53:24,2980,273,384,SHORT
2022-11-12,07:53:25,2967,277,378,SHORT
2022-11-12,07:53:26,2980,271,374,SHORT
2022-11-12,07:53:27,2995,273,370,SHORT
2022-11-12,07:53:28,2985,275,365,SHORT
2022-11-12,07:53:29,2973,281,370,SHORT
2022-11-12,07:53:30,2957,288,368,SHORT
2022-11-12,07:53:31,2937,286,370,SHORT
2022-11-12,07:53:32,2947,280,367,SHORT
2022-11-12,07:53:33,2966,277,375,SHORT
2022-11-12,07:53:34,2979,281,378,SHORT
2022-11-12,07:53:36,2980,280,376,SHORT
2022-11-12,07:53:37,2960,282,384,SHORT
2022-11-12,07:53:38,2975,279,389,SHORT
2022-11-12,07:53:39,2983,273,396,SHORT
2022-11-12,07:53:40,2975,272,397,SHORT
2022-11-12,07:53:41,2965,278,394,SHORT
2022-11-12,07:53:42,2946,275,401,SHORT
2022-11-12,07:53:43,2936,269,397,SHORT
2022-11-12,07:53:44,2941,271,397,SHORT
2022-11-12,07:53:45,2934,268,395,SHORT
2022-11-12,07:53:46,2928,267,398,SHORT
2022-11-12,07:53:47,2931,264,403,SHORT
2022-11-12,07:53:48,2939,270,411,SHORT
2022-11-12,07:53:49,2945,264,417,SHORT
2022-11-12,07:53:50,2943,264,416,SHORT
2022-11-12,07:53:51,2962,265,424,SHORT
2022-11-12,07:53:52,2943,268,429,SHORT
2022-11-12,07:53:53,2930,276,431,SHORT
2022-11-12,07:53:54,2944,282,438,SHORT
2022-11-12,07:53:55,2939,282,446,SHORT
2022-11-12,07:53:56,2920,280,444,SHORT
2022-11-12,07:53:57,2907,287,440,SHORT
2022-11-12,07:53:58,2910,290,436,SHORT
2022-11-12,07:53:59,2915,289,436,SHORT
2022-11-12,07:54:00,2933,291,431,SHORT
2022-11-12,07:54:01,2920,299,436,SHORT
2022-11-12,07:54:02,2926,306,431,SHORT
2022-11-12,07:54:03,2935,303,434,SHORT
2022-11-12,07:54:04,2938,302,432,SHORT
2022-11-12,07:54:05,2926,303,433,SHORT
2022-11-12,07:54:06,2941,297,436,SHORT
2022-11-12,07:54:07,2931,302,435,SHORT
2022-11-12,07:54:08,2911,305,439,SHORT
2022-11-12,07:54:09,2901,306,446,SHORT
2022-11-12,07:54:10,2882,314,447,SHORT
2022-11-12,07:54:11,2863,319,449,SHORT
2022-11-12,07:54:12,2858,325,450,SHORT
2022-11-12,07:54:13,2860,325,449,SHORT
2022-11-12,07:54:14,2853,328,444,SHORT
2022-11-12,07:54:15,2843,323,438,SHORT
2022-11-12,07:54:16,2824,331,434,SHORT
2022-11-12,07:54:17,2808,337,433,SHORT
2022-11-12,07:54:18,2826,335,434,SHORT
2022-11-12,07:54:19,2824,343,436,SHORT
2022-11-12,07:54:20,2829,339,436,SHORT
2022-11-12,07:54:21,2848,335,431,SHORT
2022-11-12,07:54:22,2857,341,439,SHORT
2022-11-12,07:54:23,2864,349,446,SHORT
2022-11-12,07:54:24,2872,357,446,SHORT
2022-11-12,07:54:25,2883,353,447,SHORT
2022-11-12,07:54:26,2896,348,444,SHORT
2022-11-12,07:54:27,2912,346,442,SHORT
2022-11-12,07:54:28,2916,341,444,SHORT
2022-11-12,07:54:29,2899,339,452,SHORT
2022-11-12,07:54:30,2906,347,446,SHORT
2022-11-12,07:54:31,2890,344,442,SHORT
2022-11-12,07:54:33,2876,347,446,SHORT
2022-11-12,07:54:34,2859,351,453,SHORT
2022-11-12,07:54:35,2860,349,450,SHORT
2022-11-12,07:54:36,2866,348,450,SHORT
2022-11-12,07:54:37,2860,342,454,SHORT
2022-11-12,07:54:38,2875,350,460,SHORT
2022-11-12,07:54:39,2855,348,460,SHORT
2022-11-12,07:54:40,2858,354,459,SHORT
2022-11-12,07:54:41,2842,349,453,SHORT
2022-11-12,07:54:42,2859,344,459,SHORT
2022-11-12,07:54:43,2863,339,467,SHORT
2022-11-12,07:54:44,2863,337,467,SHORT
2022-11-12,07:54:45,2873,335,472,SHORT
2022-11-12,07:54:46,2869,331,468,SHORT
2022-11-12,07:54:47,2849,332,463,SHORT
2022-11-12,07:54:48,2863,338,457,SHORT
2022-11-12,07:54:49,2881,332,453,SHORT
2022-11-12,07:54:50,2887,329,461,SHORT
2022-11-12,07:54:51,2907,334,458,SHORT
2022-11-12,07:54:52,2888,339,455,SHORT
2022-11-12,07:54:53,2869,345,453,SHORT
2022-11-12,07:54:54,2885,351,454,SHORT
2022-11-12,07:54:55,2866,347,462,SHORT
2022-11-12,07:54:56,2867,352,462,SHORT
2022-11-12,07:54:57,2857,350,461,SHORT
2022-11-12,07:54:58,2869,354,465,SHORT
2022-11-12,07:54:59,2871,357,460,SHORT
2022-11-12,07:55:00,2890,363,459,SHORT
2022-11-12,07:55:01,2881,359,466,SHORT
2022-11-12,07:55:02,2867,357,474,SHORT
2022-11-12,07:55:03,2861,362,470,SHORT
2022-11-12,07:55:04,2864,368,471,SHORT
2022-11-12,07:55:05,2864,363,472,SHORT
2022-11-12,07:55:06,2868,361,470,SHORT
2022-11-12,07:55:07,2854,361,475,SHORT
2022-11-12,07:55:08,2846,360,473,SHORT
2022-11-12,07:55:09,2826,367,469,SHORT
2022-11-12,07:55:10,2806,370,467,SHORT
2022-11-12,07:55:11,2819,370,462,SHORT
2022-11-12,07:55:12,2822,366,468,SHORT
2022-11-12,07:55:13,2806,370,471,SHORT
2022-11-12,07:55:14,2808,366,476,SHORT
2022-11-12,07:55:15,2822,363,473,SHORT
2022-11-12,07:55:16,2835,369,472,SHORT
2022-11-12,07:55:17,2827,369,467,SHORT
2022-11-12,07:55:18,2815,367,475,SHORT
2022-11-12,07:55:19,2796,369,469,SHORT
2022-11-12,07:55:20,2808,374,467,SHORT
2022-11-12,07:55:21,2799,381,471,SHORT
2022-11-12,07:55:22,2795,385,470,SHORT
2022-11-12,07:55:23,2784,390,470,SHORT
2022-11-12,07:55:24,2801,390,469,SHORT
2022-11-12,07:55:25,2814,398,473,SHORT
2022-11-12,07:55:26,2809,402,468,SHORT
2022-11-12,07:55:27,2822,404,469,SHORT
2022-11-12,07:55:28,2811,411,466,SHORT
2022-11-12,07:55:29,2812,418,463,SHORT
2022-11-12,07:55:30,2826,413,462,SHORT
2022-11-12,07:55:31,2834,418,458,SHORT
2022-11-12,07:55:33,2848,420,460,SHORT
2022-11-12,07:55:34,2841,425,463,SHORT
2022-11-12,07:55:35,2855,433,466,SHORT
2022-11-12,07:55:36,2854,432,461,SHORT
2022-11-12,07:55:37,2834,432,466,SHORT
2022-11-12,07:55:38,2818,431,468,SHORT
2022-11-12,07:55:39,2833,435,462,SHORT
2022-11-12,07:55:40,2821,442,464,SHORT
2022-11-12,07:55:41,2826,438,472,SHORT
2022-11-12,07:55:42,2838,435,470,SHORT
2022-11-12,07:55:43,2830,430,468,SHORT
2022-11-12,07:55:44,2827,430,476,SHORT
2022-11-12,07:55:45,2824,430,478,SHORT
2022-11-12,07:55:46,2822,427,484,SHORT
2022-11-12,07:55:47,2822,433,491,SHORT
2022-11-12,07:55:48,2839,437,485,SHORT
2022-11-12,07:55:49,2820,435,493,SHORT
2022-11-12,07:55:50,2801,433,500,SHORT
2022-11-12,07:55:51,2790,428,500,SHORT
2022-11-12,07:55:52,2800,430,503,SHORT
2022-11-12,07:55:53,2784,427,510,SHORT
2022-11-12,07:55:54,2791,426,511,SHORT
2022-11-12,07:55:55,2807,428,510,SHORT
2022-11-12,07:55:56,2807,428,505,SHORT
2022-11-12,07:55:57,2788,428,499,SHORT
2022-11-12,07:55:58,2786,425,501,SHORT
2022-11-12,07:55:59,2785,421,500,SHORT
2022-11-12,07:56:00,2805,420,508,SHORT
2022-11-12,07:56:01,2794,428,502,SHORT
2022-11-12,07:56:02,2775,435,509,SHORT
2022-11-12,07:56:03,2763,434,517,SHORT
2022-11-12,07:56:04,2756,429,518,SHORT
2022-11-12,07:56:05,2752,425,526,SHORT
2022-11-12,07:56:06,2743,424,525,SHORT
2022-11-12,07:56:07,2755,426,520,SHORT
2022-11-12,07:56:08,2768,432,522,SHORT
2022-11-12,07:56:09,2750,435,517,SHORT
2022-11-12,07:56:10,2731,429,517,SHORT
2022-11-12,07:56:11,2729,435,515,SHORT
2022-11-12,07:56:12,2726,439,523,SHORT
2022-11-12,07:56:13,2712,437,523,SHORT
2022-11-12,07:56:14,2693,443,521,SHORT
2022-11-12,07:56:15,2682,445,522,SHORT
2022-11-12,07:56:16,2674,443,527,SHORT
2022-11-12,07:56:17,2681,442,523,SHORT
2022-11-12,07:56:18,2664,441,525,SHORT
2022-11-12,07:56:19,2680,446,528,SHORT
2022-11-12,07:56:20,2692,449,522,SHORT
2022-11-12,07:56:22,2688,445,521,SHORT
2022-11-12,07:56:23,2686,441,524,SHORT
2022-11-12,07:56:24,2672,436,520,SHORT
2022-11-12,07:56:25,2658,430,524,SHORT
2022-11-12,07:56:26,2676,437,518,SHORT
2022-11-12,07:56:27,2662,433,525,SHORT
2022-11-12,07:56:28,2670,431,532,SHORT
2022-11-12,07:56:29,2669,429,530,SHORT
2022-11-12,07:56:30,2655,427,528,SHORT
2022-11-12,07:56:31,2674,424,529,SHORT
2022-11-12,07:56:32,2657,432,526,SHORT
2022-11-12,07:56:33,2661,437,527,SHORT
2022-11-12,07:56:34,2666,434,528,SHORT
2022-11-12,07:56:35,2646,430,529,SHORT
2022-11-12,07:56:36,2666,433,537,SHORT
2022-11-12,07:56:37,2681,434,534,SHORT
2022-11-12,07:56:38,2679,439,541,SHORT
2022-11-12,07:56:39,2660,441,535,SHORT
2022-11-12,07:56:40,2667,448,534,SHORT
2022-11-12,07:56:41,2674,443,536,SHORT
2022-11-12,07:56:42,2683,442,530,SHORT
2022-11-12,07:56:43,2670,448,538,SHORT
2022-11-12,07:56:44,2673,446,541,SHORT
2022-11-12,07:56:45,2675,454,543,SHORT
2022-11-12,07:56:46,2660,456,542,SHORT
2022-11-12,07:56:47,2651,452,542,SHORT
2022-11-12,07:56:48,2639,448,537,SHORT
2022-11-12,07:56:49,2640,454,536,SHORT
2022-11-12,07:56:50,2629,458,536,SHORT
2022-11-12,07:56:51,2640,455,530,SHORT
2022-11-12,07:56:52,2641,451,535,SHORT
2022-11-12,07:56:53,2628,458,532,SHORT
2022-11-12,07:56:54,2612,455,532,SHORT
2022-11-12,07:56:55,2601,453,527,SHORT
2022-11-12,07:56:56,2606,459,531,SHORT
2022-11-12,07:56:57,2607,454,534,SHORT
2022-11-12,07:56:58,2606,449,532,SHORT
2022-11-12,07:56:59,2598,451,532,SHORT
2022-11-12,07:57:00,2585,448,526,SHORT
2022-11-12,07:57:01,2578,446,522,SHORT
2022-11-12,07:57:02,2580,441,518,SHORT
2022-11-12,07:57:03,2576,446,522,SHORT
2022-11-12,07:57:04,2575,447,530,SHORT
2022-11-12,07:57:05,2592,452,526,SHORT
2022-11-12,07:57:06,2601,446,528,SHORT
2022-11-12,07:57:07,2611,448,522,SHORT
2022-11-12,07:57:09,2603,442,529,SHORT
2022-11-12,07:57:10,2621,443,537,SHORT
2022-11-12,07:57:11,2641,447,539,SHORT
2022-11-12,07:57:12,2622,454,534,SHORT
2022-11-12,07:57:13,2622,460,541,SHORT
2022-11-12,07:57:14,2638,454,549,SHORT
2022-11-12,07:57:15,2624,456,552,SHORT
2022-11-12,07:57:16,2613,461,559,SHORT
2022-11-12,07:57:17,2596,462,565,SHORT
2022-11-12,07:57:18,2580,467,572,SHORT
2022-11-12,07:57:19,2599,471,576,SHORT
2022-11-12,07:57:20,2590,473,581,SHORT
2022-11-12,07:57:21,2596,480,587,SHORT
2022-11-12,07:57:22,2601,481,586,SHORT
2022-11-12,07:57:23,2620,488,584,SHORT
2022-11-12,07:57:24,2601,484,591,SHORT
2022-11-12,07:57:25,2600,492,592,SHORT
2022-11-12,07:57:26,2609,489,597,SHORT
2022-11-12,07:57:27,2618,490,602,SHORT
2022-11-12,07:57:28,2616,489,608,SHORT
2022-11-12,07:57:29,2629,483,604,SHORT
2022-11-12,07:57:30,2639,483,600,SHORT
2022-11-12,07:57:31,2626,482,602,SHORT
2022-11-12,07:57:32,2613,485,605,SHORT
2022-11-12,07:57:33,2600,481,599,SHORT
2022-11-12,07:57:34,2607,489,603,SHORT
2022-11-12,07:57:35,2617,497,599,SHORT
2022-11-12,07:57:36,2613,492,596,SHORT
2022-11-12,07:57:37,2607,495,592,SHORT
2022-11-12,07:57:38,2598,492,595,SHORT
2022-11-12,07:57:39,2615,494,594,SHORT
2022-11-12,07:57:40,2619,492,600,SHORT
2022-11-12,07:57:41,2618,490,605,SHORT
2022-11-12,07:57:42,2631,486,609,SHORT
2022-11-12,07:57:43,2642,484,604,SHORT
2022-11-12,07:57:44,2643,488,611,SHORT
2022-11-12,07:57:45,2645,491,614,SHORT
2022-11-12,07:57:46,2652,492,621,SHORT
2022-11-12,07:57:47,2655,488,616,SHORT
2022-11-12,07:57:48,2668,484,624,SHORT
2022-11-12,07:57:49,2666,488,619,SHORT
2022-11-12,07:57:50,2647,493,621,SHORT
2022-11-12,07:57:51,2638,499,621,SHORT
2022-11-12,07:57:52,2634,493,618,SHORT
2022-11-12,07:57:53,2615,496,623,SHORT
2022-11-12,07:57:54,2607,502,631,SHORT
2022-11-12,07:57:55,2588,503,626,SHORT
2022-11-12,07:57:56,2589,502,621,SHORT
2022-11-12,07:57:57,2595,505,622,SHORT
2022-11-12,07:57:58,2584,500,618,SHORT
2022-11-12,07:57:59,2587,496,615,SHORT
2022-11-12,07:58:00,2568,490,611,SHORT
2022-11-12,07:58:01,2578,490,607,SHORT
2022-11-12,07:58:02,2593,486,609,SHORT
2022-11-12,07:58:03,2606,481,617,SHORT
2022-11-12,07:58:04,2617,488,624,SHORT
2022-11-12,07:58:06,2620,491,629,SHORT
2022-11-12,07:58:07,2611,489,632,SHORT
2022-11-12,07:58:08,2601,487,633,SHORT
2022-11-12,07:58:09,2608,482,637,SHORT
2022-11-12,07:58:10,2614,483,644,SHORT
2022-11-12,07:58:11,2613,488,641,SHORT
2022-11-12,07:58:12,2601,488,649,SHORT
2022-11-12,07:58:13,2583,495,648,SHORT
2022-11-12,07:58:14,2571,492,656,SHORT
2022-11-12,07:58:15,2587,488,658,SHORT
2022-11-12,07:58:16,2577,483,658,SHORT
2022-11-12,07:58:17,2594,478,653,SHORT
2022-11-12,07:58:18,2574,474,658,SHORT
2022-11-12,07:58:19,2565,479,665,SHORT
2022-11-12,07:58:20,2585,474,660,SHORT
2022-11-12,07:58:21,2594,473,659,SHORT
2022-11-12,07:58:22,2609,472,664,SHORT
2022-11-12,07:58:23,2609,468,662,SHORT
2022-11-12,07:58:24,2599,469,658,SHORT
2022-11-12,07:58:25,2604,475,664,SHORT
2022-11-12,07:58:26,2620,483,670,SHORT
2022-11-12,07:58:27,2615,482,671,SHORT
2022-11-12,07:58:28,2604,482,666,SHORT
2022-11-12,07:58:29,2596,482,666,SHORT
2022-11-12,07:58:30,2616,482,670,SHORT
2022-11-12,07:58:31,2600,476,669,SHORT
2022-11-12,07:58:32,2590,478,666,SHORT
2022-11-12,07:58:33,2579,476,660,SHORT
2022-11-12,07:58:34,2589,484,654,SHORT
2022-11-12,07:58:35,2598,483,648,SHORT
2022-11-12,07:58:36,2596,481,643,SHORT
2022-11-12,07:58:37,2585,477,648,SHORT
2022-11-12,07:58:38,2575,475,646,SHORT
2022-11-12,07:58:39,2591,470,645,SHORT
2022-11-12,07:58:40,2589,469,651,SHORT
2022-11-12,07:58:41,2589,473,655,SHORT
2022-11-12,07:58:42,2584,468,663,SHORT
2022-11-12,07:58:43,2604,463,664,SHORT
2022-11-12,07:58:44,2606,460,659,SHORT
2022-11-12,07:58:45,2616,465,663,SHORT
2022-11-12,07:58:47,2617,467,664,SHORT
2022-11-12,07:58:48,2634,468,664,SHORT
2022-11-12,07:58:49,2652,471,662,SHORT
